id,codigo,nombre,fecha_desde,fecha_hasta,observacion_id,geometria_id
"2","06",Buenos Aires,,,,
"3","10",Catamarca,,,,
"4","14",CÃ³rdoba,,,,
"5","18",Corrientes,,,,
"6","22",Chaco,,,,
"7","26",Chubut,,,,
"8","30",Entre RÃ­os,,,,
"9","34",Formosa,,,,
"10","38",Jujuy,,,,
"11","42",La Pampa,,,,
"12","46",La Rioja,,,,
"13","50",Mendoza,,,,
"14","54",Misiones,,,,
"15","58",NeuquÃ©n,,,,
"16","62",RÃ­o Negro,,,,
"17","66",Salta,,,,
"18","70",San Juan,,,,
"19","74",San Luis,,,,
"20","78",Santa Cruz,,,,
"21","82",Santa Fe,,,,
"22","86",Santiago del Estero,,,,
"1","02",Ciudad de Buenos Aires,,,,
"23","90",TucumÃ¡n,,,,
"24","94",Tierra del Fuego,,,,
